Date,Value
2021-09-11,42455401.022459485
2021-09-10,39761194.02916377
2021-09-09,40368816.125831656
2021-09-08,41770433.46465715
2021-09-07,50271634.77666399
2021-09-06,57266555.76617543
2021-09-05,52134864.51670021
2021-09-04,49149539.307197995
2021-09-03,47116728.859512806
2021-09-02,47307177.29767034
2021-09-01,41665458.82355731
2021-08-31,43189750.75463795
2021-08-30,41207632.496016696
2021-08-29,48550300.09798564
2021-08-28,43653820.949328326
2021-08-27,44045251.69675718
2021-08-26,44344740.93695561
2021-08-25,48840322.24348587
2021-08-24,48446097.43704099
2021-08-23,62783444.839141734
2021-08-22,50723143.42981716
2021-08-21,52705962.505506665
2021-08-20,48449546.18566341
2021-08-19,44064382.99067613
2021-08-18,38733931.86284885
2021-08-17,51238797.93256642
2021-08-16,47962042.2573277
2021-08-15,53211493.46389551
2021-08-14,48765927.53500252
2021-08-13,42018438.48174473
2021-08-12,42929376.7834287
2021-08-11,42939210.622138664
2021-08-10,48233368.67053298
2021-08-09,43228448.21630561
2021-08-08,44179354.81712923
2021-08-07,45850268.790412456
2021-08-06,41573126.86150505
2021-08-05,39935192.170622125
2021-08-04,33520445.171270356
2021-08-03,41637592.37890438
2021-08-02,35937889.12802676
2021-08-01,40874038.11368588
2021-07-31,41621939.121906385
2021-07-30,42087445.1906185
2021-07-29,40901817.89725001
2021-07-28,39723886.333062276
2021-07-27,40625844.53592668
2021-07-26,36493145.8849538
2021-07-25,33196893.294046123
2021-07-24,33022007.456692234
2021-07-23,27972459.84596659
2021-07-22,32359585.956606735
2021-07-21,28599770.53082254
2021-07-20,23622405.807595752
2021-07-19,33665753.26013767
2021-07-18,28985344.268370077
2021-07-17,28583415.04251025
2021-07-16,30312671.303400345
2021-07-15,26360965.372066207
2021-07-14,35713899.102159716
2021-07-13,28926080.150108404
2021-07-12,27887294.46842595
2021-07-11,27450462.488367923
2021-07-10,34562838.34397255
2021-07-09,28042394.08723746
2021-07-08,29946768.12842675
2021-07-07,27871474.456535358
2021-07-06,31922406.81313202
2021-07-05,29781454.423735674
2021-07-04,26850966.694825143
2021-07-03,29286315.156302497
2021-07-02,20787750.55088921
2021-07-01,22482193.59954811
2021-06-30,21597056.01010785
2021-06-29,21860395.240822982
2021-06-28,20581265.559633788
2021-06-27,13064509.932234002
2021-06-26,18459502.48536148
2021-06-25,24364896.164727684
2021-06-24,23766132.38608606
2021-06-23,23621428.331087295
2021-06-22,19804046.130290017
2021-06-21,23126700.279965036
2021-06-20,23743052.0992393
2021-06-19,23856840.00185822
2021-06-18,29858234.31511843
2021-06-17,32585835.143843785
2021-06-16,31780141.800057426
2021-06-15,34465050.9411636
2021-06-14,36421303.120417744
2021-06-13,31382108.55365283
2021-06-12,31189778.559382275
2021-06-11,25753794.507168025
2021-06-10,28990968.607225362
2021-06-09,29082024.72863661
2021-06-08,31680869.696719125
2021-06-07,32065211.206185155
2021-06-06,34551597.29480198
2021-06-05,31004148.542508267
2021-06-04,32433139.613245476
2021-06-03,37237145.28549553
2021-06-02,41033277.7360982
2021-06-01,34238305.81555942
2021-05-31,33914623.681255355
2021-05-30,33235125.091146626
2021-05-29,27237217.139367037
2021-05-28,29892496.4361271
2021-05-27,30872457.374978814
2021-05-26,32976616.14112848
2021-05-25,32577927.94728843
2021-05-24,32668797.23653627
2021-05-23,28944158.98421438
2021-05-22,31076144.881794974
2021-05-21,31984319.396481585
2021-05-20,33135536.43756745
2021-05-19,36558890.15030742
2021-05-18,30628667.240716435
2021-05-17,36875391.36590077
2021-05-16,41709082.876608536
2021-05-15,41386831.59001042
2021-05-14,45652932.824427664
2021-05-13,53650242.51126909
2021-05-12,64585949.4848341
2021-05-11,64607298.400094174
2021-05-10,71072062.4963203
2021-05-09,71465404.01503558
2021-05-08,67678884.92096624
2021-05-07,71663298.61460015
2021-05-06,66659326.27502956
2021-05-05,61161963.09240894
2021-05-04,68034176.30412355
2021-05-03,71252796.33298717
2021-05-02,70637245.5046327
2021-05-01,56995422.307202466
2021-04-30,59389761.303177826
2021-04-29,48848197.60179543
2021-04-28,56029341.15713478
2021-04-27,57182089.25851064
2021-04-26,47389587.56067316
2021-04-25,49453312.869487576
2021-04-24,53877732.96517578
2021-04-23,55567384.88797259
2021-04-22,64293952.906998485
2021-04-21,49225543.81325493
2021-04-20,62004693.81146113
2021-04-19,47180246.47068432
2021-04-18,57721965.5233542
2021-04-17,45028087.58663974
2021-04-16,48356808.52401327
2021-04-15,80172244.97007681
2021-04-14,63141327.402798735
2021-04-13,61441759.0375718
2021-04-12,59662203.17826638
2021-04-11,58799840.659562446
2021-04-10,64092742.42249997
2021-04-09,62936805.508286126
2021-04-08,53025106.53857864
2021-04-07,61699929.39559078
2021-04-06,58865753.6739137
2021-04-05,62213130.42119343
2021-04-04,56501558.977773495
2021-04-03,54056516.12378918
2021-04-02,57243512.862984665
2021-04-01,58722692.65813852
2021-03-31,63698731.011946015
2021-03-30,58978791.97986809
2021-03-29,59732041.28817989
2021-03-28,58772016.35476238
2021-03-27,59212965.29536148
2021-03-26,49554041.05561001
2021-03-25,55913485.57796882
2021-03-24,56905120.7290735
2021-03-23,60904323.71943131
2021-03-22,58540676.97897906
2021-03-21,60066262.67738397
2021-03-20,61522483.4952451
2021-03-19,61617467.94631133
2021-03-18,64386085.97207126
2021-03-17,54456146.879519716
2021-03-16,57657199.41954258
2021-03-15,59673362.68696073
2021-03-14,64756375.034695014
2021-03-13,59410978.32581383
2021-03-12,60000114.24336446
2021-03-11,52736912.574518405
2021-03-10,57652864.476403445
2021-03-09,52888356.46482327
2021-03-08,53803631.21964566
2021-03-07,49451162.50304934
2021-03-06,49711918.89213497
2021-03-05,49815984.01444393
2021-03-04,45722350.32302363
2021-03-03,55147754.83271214
2021-03-02,50567917.70753806
2021-03-01,44513744.099418715
2021-02-28,40396048.67600178
2021-02-27,51148405.64582984
2021-02-26,47395143.797322005
2021-02-25,57792548.4154015
2021-02-24,59746178.57906681
2021-02-23,48487887.64094238
2021-02-22,52905473.90020501
2021-02-21,57635434.78941177
2021-02-20,59691256.6875985
2021-02-19,59244126.437538244
2021-02-18,53678746.908786446
2021-02-17,51285528.64317585
2021-02-16,42832906.95827337
2021-02-15,51761591.27857075
2021-02-14,50339561.18150959
2021-02-13,53952453.191675015
2021-02-12,53308083.0824142
2021-02-11,47377470.06192563
2021-02-10,49429153.26156691
2021-02-09,51636507.497528024
2021-02-08,48670642.79997875
2021-02-07,41085629.48255814
2021-02-06,45346981.332109064
2021-02-05,45671119.753917314
2021-02-04,43879560.217283756
2021-02-03,39131400.439372316
2021-02-02,38671645.45825114
2021-02-01,30096215.73409861
2021-01-31,33412205.26586177
2021-01-30,33651946.62402073
2021-01-29,39455373.63302356
2021-01-28,32031715.884661224
2021-01-27,30148573.701184303
2021-01-26,35209827.729441255
2021-01-25,33137293.923932903
2021-01-24,30284997.15879116
2021-01-23,33751644.506897256
2021-01-22,31865792.143227555
2021-01-21,30287474.72314571
2021-01-20,34297105.93950238
2021-01-19,38439879.37535342
2021-01-18,36250411.753908925
2021-01-17,31937013.5207863
2021-01-16,38126679.70239878
2021-01-15,41733817.69406035
2021-01-14,42518141.3229426
2021-01-13,37493720.35220138
2021-01-12,38534703.86316562
2021-01-11,37697672.105572425
2021-01-10,43171347.77742759
2021-01-09,40693122.11401789
2021-01-08,42358095.25666046
2021-01-07,45226287.01495596
2021-01-06,43004565.11013959
2021-01-05,35314776.48318403
2021-01-04,39752808.81415808
2021-01-03,35922359.22404933
2021-01-02,31908499.940662753
2021-01-01,29068047.02881674
2020-12-31,33284139.091827303
2020-12-30,33896444.42080255
2020-12-29,28221057.092363108
2020-12-28,29968235.311181773
2020-12-27,27533619.89224247
2020-12-26,23722327.94400382
2020-12-25,23792132.986943312
2020-12-24,20751169.501283977
2020-12-23,26038110.232698534
2020-12-22,23995220.12075107
2020-12-21,23298120.991149504
2020-12-20,24027162.60963906
2020-12-19,25884376.309846204
2020-12-18,27241477.875482038
2020-12-17,22338873.247198086
2020-12-16,19816346.525156554
2020-12-15,18584575.835623957
2020-12-14,18516458.628991954
2020-12-13,19661607.518971115
2020-12-12,16396977.017211141
2020-12-11,16978667.126258247
2020-12-10,16448918.976491643
2020-12-09,17187411.942549206
2020-12-08,18941288.637713753
2020-12-07,19343628.017927807
2020-12-06,17217876.55490936
2020-12-05,18632287.72198453
2020-12-04,19296507.660683624
2020-12-03,21762338.78996689
2020-12-02,18291019.906802543
2020-12-01,21143567.33429405
